InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,category
536365,71053,"WHITE METAL LANTERN",6,"12/1/2010 8:26",3.39,17850,"United Kingdom","Christmas Decorations"
536365,84029G,"KNITTED UNION FLAG HOT WATER BOTTLE",6,"12/1/2010 8:26",3.39,17850,"United Kingdom","Medication & Remedies"
536370,21883,"STARS GIFT TAPE ",24,"12/1/2010 8:45",0.65,12583,"France",Gifts
536373,71053,"WHITE METAL LANTERN",6,"12/1/2010 9:02",3.39,17850,"United Kingdom","Christmas Decorations"
536373,84029G,"KNITTED UNION FLAG HOT WATER BOTTLE",6,"12/1/2010 9:02",3.39,17850,"United Kingdom","Medication & Remedies"
536375,71053,"WHITE METAL LANTERN",6,"12/1/2010 9:32",3.39,17850,"United Kingdom","Christmas Decorations"
536375,84029G,"KNITTED UNION FLAG HOT WATER BOTTLE",6,"12/1/2010 9:32",3.39,17850,"United Kingdom","Medication & Remedies"
536376,22114,"HOT WATER BOTTLE TEA AND SYMPATHY",48,"12/1/2010 9:32",3.45,15291,"United Kingdom","Medication & Remedies"
536384,22464,"HANGING METAL HEART LANTERN",12,"12/1/2010 9:53",1.65,18074,"United Kingdom","Christmas Decorations"
536384,21324,"HANGING MEDINA LANTERN SMALL",6,"12/1/2010 9:53",2.95,18074,"United Kingdom","Christmas Decorations"
536384,22224,"WHITE LOVEBIRD LANTERN",6,"12/1/2010 9:53",2.95,18074,"United Kingdom","Christmas Decorations"
536388,22464,"HANGING METAL HEART LANTERN",12,"12/1/2010 9:59",1.65,16250,"United Kingdom","Christmas Decorations"
536388,22915,"ASSORTED BOTTLE TOP  MAGNETS ",12,"12/1/2010 9:59",0.42,16250,"United Kingdom","Medication & Remedies"
536390,21485,"RETROSPOT HEART HOT WATER BOTTLE",24,"12/1/2010 10:19",4.25,17511,"United Kingdom","Medication & Remedies"
536390,84029G,"KNITTED UNION FLAG HOT WATER BOTTLE",24,"12/1/2010 10:19",3.39,17511,"United Kingdom","Medication & Remedies"
536390,84030E,"ENGLISH ROSE HOT WATER BOTTLE",24,"12/1/2010 10:19",3.75,17511,"United Kingdom","Medication & Remedies"
536394,21485,"RETROSPOT HEART HOT WATER BOTTLE",12,"12/1/2010 10:39",4.95,13408,"United Kingdom","Medication & Remedies"
536395,21484,"CHICK GREY HOT WATER BOTTLE",8,"12/1/2010 10:47",3.45,13767,"United Kingdom","Medication & Remedies"
536395,22114,"HOT WATER BOTTLE TEA AND SYMPATHY",8,"12/1/2010 10:47",3.95,13767,"United Kingdom","Medication & Remedies"
536396,71053,"WHITE METAL LANTERN",6,"12/1/2010 10:51",3.39,17850,"United Kingdom","Christmas Decorations"
536396,84029G,"KNITTED UNION FLAG HOT WATER BOTTLE",6,"12/1/2010 10:51",3.39,17850,"United Kingdom","Medication & Remedies"
536398,22114,"HOT WATER BOTTLE TEA AND SYMPATHY",4,"12/1/2010 10:52",3.95,13448,"United Kingdom","Medication & Remedies"
536398,22835,"HOT WATER BOTTLE I AM SO POORLY",8,"12/1/2010 10:52",4.65,13448,"United Kingdom","Medication & Remedies"
536398,22112,"CHOCOLATE HOT WATER BOTTLE",9,"12/1/2010 10:52",4.95,13448,"United Kingdom","Medication & Remedies"
536398,21479,"WHITE SKULL HOT WATER BOTTLE ",4,"12/1/2010 10:52",3.75,13448,"United Kingdom","Medication & Remedies"
536398,22111,"SCOTTIE DOG HOT WATER BOTTLE",9,"12/1/2010 10:52",4.95,13448,"United Kingdom","Medication & Remedies"
536401,22110,"BIRD HOUSE HOT WATER BOTTLE",1,"12/1/2010 11:21",2.55,15862,"United Kingdom","Medication & Remedies"
536401,84030E,"ENGLISH ROSE HOT WATER BOTTLE",1,"12/1/2010 11:21",4.25,15862,"United Kingdom","Medication & Remedies"
536402,22837,"HOT WATER BOTTLE BABUSHKA ",36,"12/1/2010 11:22",4.25,15513,"United Kingdom","Medication & Remedies"
536406,71053,"WHITE METAL LANTERN",8,"12/1/2010 11:33",3.39,17850,"United Kingdom","Christmas Decorations"
536406,84029G,"KNITTED UNION FLAG HOT WATER BOTTLE",6,"12/1/2010 11:33",3.39,17850,"United Kingdom","Medication & Remedies"
536408,22114,"HOT WATER BOTTLE TEA AND SYMPATHY",4,"12/1/2010 11:41",3.95,14307,"United Kingdom","Medication & Remedies"
